date,pagePath,exits
2019-07-02,/blog/meet-our-grads-alex-self-published-game-developer/,1
2019-07-02,/blog/meet-our-graduates-alex-junior-software-developer/,1
2019-07-02,/blog/meet-rob-codeclan-graduate-and-now-graduate-mobile-developer-at-xdesign/,1
2019-07-02,/blog/most-asked-questions/,1
2019-07-02,/blog/new-career-in-tech-autumn/?fbclid=IwAR0PXGkZ1xuFVCS3Ule3p-bUmOqmBMnpK390dXB6xXpiZlknUl6z6CnX2NM,1
2019-07-02,/blog/new-funding-opens-up-careers-in-coding/,1
2019-07-02,/blog/no-tech-background-no-problem-8-career-changers-from-different-backgrounds/,1
2019-07-02,/blog/overcoming-your-interview-fears/,1
2019-07-02,/blog/page/2/,1
2019-07-02,/blog/peter-support-engineer-freeagent/,1
2019-07-02,/blog/scotland-demand-for-developers-growing/,1
2019-07-02,/blog/took-back-control-coding/,1
2019-07-02,/courses/edaid-apply/,1
2019-07-02,/courses/glasgow/,1
2019-07-02,/courses/inverness/,1
2019-07-02,/courses/professional-software-development/apply/course_application_2,1
2019-07-02,/courses/professional-software-development/sarahs-reskilling-story/,1
2019-07-02,/courses/professional-software-development/student-projects/,1
2019-07-02,/courses/programming-with-r/,1
2019-07-02,/data-analysis-announcement/apply-for-data-analysis/,1
2019-07-02,/digital-careers/,1
2019-07-02,/digital-careers/ux-consultant/,1
2019-07-02,/events/glasgow/?fbclid=IwAR2IQAbka-Ky0A0tCKnSBzxAkwij-rhcq5xYeyW3vGojieLNmPXA0lJLrbs,1
2019-07-02,/events/inverness-events/,1
2019-07-02,/events/other-events/,1
2019-07-02,/events/partner-events/,1
2019-07-02,/for-employers/become-a-partner/,1
2019-07-02,/for-employers/client-xperience/,1
2019-07-02,/for-employers/employer-case-studies/,1
2019-07-02,/for-employers/employer-case-studies/zonal-case-study/,1
2019-07-02,/glasgow/?fbclid=IwAR2PZauxpPqDt6XTC4ZorAUb2iLbhQVf8T_0OWy5ReTYvR9Ezuig3Qk-NeY,1
2019-07-02,/partner-terms-and-conditions/,1
2019-07-02,/pre,1
2019-07-02,/the-codeclan-experience/,1
2019-07-02,/the-codeclan-experience/the-alumni/,1
2019-07-03,/?fbclid=IwAR38OT7WJDjA0mkzpa0zRZx0krOOFVPWLwjtnX2yBWrF49LiAMu7XO8vf4k,1
2019-07-03,/blog/,1
2019-07-03,/blog/built-munro-bagger-site/,1
2019-07-03,/blog/category/employers/page/2/,1
2019-07-03,/blog/codeclan-launches-new-data-analysis-course/,1
2019-07-03,/blog/finding-a-career-you-love/,1
2019-07-03,/blog/get-involved-with-codeclans-client-xperience-programme/,1
2019-07-03,/blog/graduates-charley-junior-developer/,1
2019-07-03,/blog/meet-our-graduates-daniel-at-dog/,1
2019-07-03,/blog/most-asked-questions/,1
2019-07-03,/blog/new-funding-opens-up-careers-in-coding/,1
2019-07-03,/blog/new-funding-opens-up-careers-in-coding/?fbclid=IwAR34WS9Zk1QGRK0i_M69_NyWoOdBa6JEkY27DlUnVxE6SBWmIDjo_S-AJ_4,1
2019-07-03,/blog/new-funding-opens-up-careers-in-coding/?fbclid=IwAR3FuzxrdIofUf7AS5vIDsvTcbCNu3rSDVyd7B2O7QkvQ9dG1a3lefWqRCs,1
2019-07-03,/blog/overcoming-your-interview-fears/?fbclid=IwAR1pP3UQykhCIyEUW-Ys0tWBcxpCoXnJgG1HONBx3sNcHgpcZm5SVq0dJWU,1
2019-07-03,/blog/page/6/,1
2019-07-03,/blog/peter-support-engineer-freeagent/,1
2019-07-03,/blog/scotland-demand-for-developers-growing/,1
2019-07-03,/blog/scotland-place-to-work-digital/,1
2019-07-03,/blog/why-learn-coding/,1
2019-07-03,/courses/agile-for-effective-teams/,1
2019-07-03,/courses/bespoke-courses/,1
2019-07-03,/courses/data-carpentry/,1
2019-07-03,/courses/full-stack-web-development/apply-inverness/course_application_hie_2,1
2019-07-03,/courses/intro-to-r/,1
2019-07-03,/courses/professional-software-development/apply/course_application_2,1
2019-07-03,/courses/professional-software-development/career-support/,1
2019-07-03,/courses/professional-software-development/charlotte-case-study/,1
2019-07-03,/courses/professional-software-development/student-case-studies/,1
2019-07-03,/courses/programming-with-r/,1
2019-07-03,/courses/statistical-modelling/,1
2019-07-03,/data-analysis-announcement/apply-for-data-analysis/,1
2019-07-03,/data-analysis-announcement/data-course-application-process/,1
2019-07-03,/digital-careers/,1
2019-07-03,/digital-careers/data-scientist/?fbclid=IwAR3NJJjdrHcY5P3oyLzQ5AQwxLBzAq7AmBBkr6ghEST4T9hkfzQwTNjIHng,1
2019-07-03,/digital-careers/software-developer/,1
2019-07-03,/digital-careers/test-engineer/,1
2019-07-03,/edinburgh/,1
2019-07-03,/events/edinburgh/?elementor-preview=19194&ver=1562191231,1
2019-07-03,/events/glasgow/,1
2019-07-03,/for-employers/become-a-partner/,1
2019-07-03,/for-employers/client-xperience/,1
2019-07-03,/the-codeclan-experience/the-alumni/,1
2019-07-03,/webinars/?fbclid=IwAR0Z49T8fqM4KoI7oWJFjt3AVO-GzdN1qH5mmFmnrlYrnqW-kj7wDN7Q-68,1
2019-07-04,/about-us/become-an-instructor/part-time-teaching/,1
2019-07-04,/about-us/our-team/our-board/,1
2019-07-04,/admissions-track-data/,1
2019-07-04,/blog/,1
2019-07-04,/blog/5-reasons-edinburgh-best-place-live-uk/,1
2019-07-04,/blog/7-celebrities-didnt-know-code/,1
2019-07-04,/blog/9-common-misconceptions-coding/,1
2019-07-04,/blog/career-change-into-digital/,1
2019-07-04,/blog/category/inspiring-stories/,1
2019-07-04,/blog/category/instructor-blogs/,1
2019-07-04,/blog/codebar-edinburgh-second-anniversary/,1
2019-07-04,/blog/codebar-edinburgh-second-anniversary/?fbclid=IwAR16jH-KJqf3QKgdaykR2pQaSdDpsxtYRtpdEl2IE2JlFcQx6XsQFJbckSk,1
2019-07-04,/blog/codeclan-ceo-melinda-matthews/,1
2019-07-04,/blog/codeclan-students-changed-career/,1
2019-07-04,/blog/expanding-comfort-zone-digital-womens-group/,1
2019-07-04,/blog/finding-a-career-you-love/,1
2019-07-04,/blog/free-courses-launched-techmums/,1
2019-07-04,/blog/hire-a-developer-technical-interviews/,1
2019-07-04,/blog/hiring-developers-for-the-future/,1
2019-07-04,/blog/meet-graduates-james-third-sector-lobbyist-software-developer/,1
2019-07-04,/blog/meet-our-grads-alex-self-published-game-developer/,1
2019-07-04,/blog/meet-our-instructors-keith/,1
2019-07-04,/blog/meet-our-partners-wallet-services/,1
2019-07-04,/blog/melindas-memo-july-2019/,1
2019-07-04,/blog/melindas-memo-july-2019/?mc_cid=2fb4f83e69&mc_eid=98d1fff565,1
2019-07-04,/blog/most-asked-questions/,1
2019-07-04,/blog/new-partner-programme-coming/,1
2019-07-04,/blog/scotland-demand-for-developers-growing/?mc_cid=2fb4f83e69&mc_eid=8b5c3a2482,1
2019-07-04,/campuses/,1
2019-07-04,/codeclan-store/light-blue-c-t-shirt/,1
2019-07-04,/courses/16-week-course/apply/,1
2019-07-04,/courses/edaid-apply/,1
2019-07-04,/courses/glasgow/,1
2019-07-04,/courses/intro-to-r/,1
2019-07-04,/courses/inverness/,1
2019-07-04,/courses/professional-software-development/apply/course_application_1,1
2019-07-04,/courses/professional-software-development/career-support/,1
2019-07-04,/courses/professional-software-development/student-projects/?fbclid=IwAR0s2fBgfLVjbR-9AA11LelZV0bujmsb-s5Ef66gsbePTenE_SCVWj0t6bk,1
2019-07-04,/courses/programming-with-r/,1
2019-07-04,/data-analysis-announcement/apply-for-data-analysis/,1
2019-07-04,/data-analysis-announcement/data-course-application-process/,1
2019-07-04,/digital-careers/data-scientist/,1
2019-07-04,/digital-careers/product-owner/,1
2019-07-04,/digital-careers/software-developer/,1
2019-07-04,/digital-careers/ux-consultant/,1
2019-07-04,/events/inverness-events/,1
2019-07-04,/events/other-events/,1
2019-07-04,/events/partner-events/,1
2019-07-04,/for-employers/client-xperience/,1
2019-07-04,/for-employers/employer-case-studies/freeagent/,1
2019-07-04,/partner-terms-and-conditions/,1
2019-07-04,/the-codeclan-experience/,1
2019-07-04,/the-codeclan-experience/the-alumni/,1
2019-07-04,/webinars/?fbclid=IwAR3O_qBArBmMgZ90bOIlSZFhovtCDntmXZtrQLUjoZCGP-oJ3g7jICH_zYU,1
